run,note,clk_ns,util,effort,target_slack,derate,date,wns_place,wns_cts,wns_hold_cts,wns_setup,wns_hold,n_setup_viol,n_hold_viol,tns_setup,cells,fillers,flops,logic_um2,core_um2,density_pct,wire_um,wns_place_start,wns_setup_slow,tns_setup_slow,n_setup_viol_slow,wns_hold_slow,n_hold_viol_slow,wns_setup_typ,tns_setup_typ,n_setup_viol_typ,wns_hold_typ,n_hold_viol_typ,wns_setup_fast,tns_setup_fast,n_setup_viol_fast,wns_hold_fast,n_hold_viol_fast
confirm-clk4p1-u68,closure repeatability probe at 4.1 ns,4.1,0.68,medium,,,Tue Aug 11 17:09:50 2026,-0.022,0.004,0.026,-0.016,0.026,3,0,-0.032,5196,7713,1347,13472.9,19302.822,69.798,88776.275,-2.411,-0.016,-0.032,3,0.211,0,2.228,0.0,0,0.056,0,2.427,0.0,0,0.026,0
confirm-clk4p1-u69,closure repeatability probe at 4.1 ns,4.1,0.69,medium,,,Tue Aug 11 17:25:40 2026,-0.004,0.005,0.016,-0.01,0.015,3,0,-0.028,5237,7963,1347,13448.694,19029.64,70.672,80882.915,-2.319,-0.01,-0.028,3,0.21,0,2.198,0.0,0,0.045,0,2.415,0.0,0,0.015,0
confirm-clk4p1-u71,closure repeatability probe at 4.1 ns,4.1,0.71,medium,,,Tue Aug 11 17:41:39 2026,-0.006,0.002,0.024,-0.042,0.024,14,0,-0.125,5196,7789,1347,13431.936,18500.034,72.605,86140.7,-2.52,-0.042,-0.125,14,0.187,0,2.118,0.0,0,0.053,0,2.354,0.0,0,0.024,0
confirm-clk4p1-u72,closure repeatability probe at 4.1 ns,4.1,0.72,medium,,,Tue Aug 11 17:57:45 2026,-0.01,0.005,0.017,-0.029,0.018,3,0,-0.056,5193,8140,1347,13415.444,18232.704,73.579,82184.76,-2.306,-0.029,-0.056,3,0.172,0,2.215,0.0,0,0.043,0,2.43,0.0,0,0.018,0
confirm-clk4p2-u68,closure repeatability probe at 4.2 ns,4.2,0.68,medium,,,Tue Aug 11 18:25:53 2026,-0.002,0.001,0.026,-0.022,0.027,41,0,-0.426,5177,7761,1347,13444.97,19250.154,69.843,87910.035,-2.657,-0.022,-0.426,41,0.211,0,2.233,0.0,0,0.057,0,2.461,0.0,0,0.027,0
confirm-clk4p2-u69,closure repeatability probe at 4.2 ns,4.2,0.69,medium,,,Tue Aug 11 18:43:26 2026,-0.01,0.001,0.025,-0.02,0.025,9,0,-0.086,5159,7941,1347,13430.34,18977.504,70.77,87777.875,-2.622,-0.02,-0.086,9,0.2,0,2.291,0.0,0,0.053,0,2.492,0.0,0,0.025,0
confirm-clk4p2-u71,closure repeatability probe at 4.2 ns,4.2,0.71,medium,,,Tue Aug 11 18:59:36 2026,-0.01,-0.0,0.027,-0.03,0.027,39,0,-0.252,5182,7870,1347,13456.94,18436.992,72.989,87460.04,-2.67,-0.03,-0.252,39,0.212,0,2.322,0.0,0,0.057,0,2.52,0.0,0,0.027,0
confirm-clk4p2-u72,closure repeatability probe at 4.2 ns,4.2,0.72,medium,,,Tue Aug 11 19:15:07 2026,-0.018,0.003,0.027,-0.017,0.027,7,0,-0.04,5130,7966,1347,13411.72,18181.632,73.765,86935.05,-2.572,-0.017,-0.04,7,0.212,0,2.294,0.0,0,0.056,0,2.494,0.0,0,0.027,0
fmax2-clk2p5,hard-constrained fmax probe at 0.70 util,2.5,0.7,medium,,,Tue Aug 11 19:48:07 2026,-1.507,-1.254,-0.118,-1.263,-0.115,90,50,-28.356,6336,6857,1347,14856.632,19081.776,77.858,88140.025,-3.18,-1.263,-34.852,141,-0.583,226,0.939,0.0,0,-0.168,316,1.203,0.0,0,-0.115,391
fmax2-clk3p0,hard-constrained fmax probe at 0.70 util,3.0,0.7,medium,,,Tue Aug 11 20:10:31 2026,-0.919,-0.818,-0.046,-0.836,-0.043,38,21,-3.582,5925,7235,1347,14357.882,19081.776,75.244,85107.905,-3.9,-0.836,-3.918,42,-0.469,22,1.269,0.0,0,-0.056,10,1.531,0.0,0,-0.043,21
fmax2-clk3p8,hard-constrained fmax probe at 0.70 util,3.8,0.7,medium,,,Tue Aug 11 20:48:08 2026,-0.204,0.002,-0.019,-0.037,-0.015,25,5,-0.325,5361,7722,1347,13639.682,18809.658,72.514,83013.875,-2.557,-0.037,-0.325,25,-0.004,1,2.017,0.0,0,-0.011,2,2.216,0.0,0,-0.015,5
confirm-clk4p1-u68-ts06,"closure repeatability probe at 4.1 ns, target slack 0.06 ns",4.1,0.68,medium,0.06,,Wed Aug 12 14:14:27 2026,0.052,0.061,0.025,0.007,0.026,0,0,0.0,5210,7696,1347,13505.352,19302.822,69.966,88959.545,-2.411,0.007,0.0,0,0.21,0,2.199,0.0,0,0.056,0,2.404,0.0,0,0.026,0
